epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1846,2.04101,5.08643,1.28392,0.00216,0.64706,0.02611,0.00597,1.83887,5.37688,1.11477,0.00022,0.00022,0.00022
2,66.6752,1.98502,4.15461,1.26032,0.00176,0.52941,0.09475,0.0218,2.03029,6.05925,1.24915,0.000448615,0.000448615,0.000448615
3,97.565,2.05283,3.92198,1.28465,0.00118,0.35294,0.00289,0.00101,2.06988,5.94252,1.33484,0.00066535,0.00066535,0.00066535
4,128.8,1.9911,3.91727,1.28794,0.00098,0.29412,0.00065,0.0002,2.02916,5.73617,1.30791,0.000870205,0.000870205,0.000870205
5,159.845,1.76822,3.73715,1.15365,0.00157,0.47059,0.05614,0.02246,2.13577,5.76829,1.45672,0.00106318,0.00106318,0.00106318
6,191.095,1.77373,3.50261,1.2302,0.36278,0.04268,0.0878,0.01362,1.99172,5.48405,1.42659,0.00124427,0.00124427,0.00124427
7,220.309,1.82258,3.4886,1.23285,0.00039,0.11765,0.00023,4e-05,2.78739,6.36312,1.89983,0.00141349,0.00141349,0.00141349
8,250.471,2.04891,2.98855,1.28308,0.00078,0.23529,0.00116,0.0005,2.39985,5.39024,1.72818,0.00157083,0.00157083,0.00157083
9,279.285,1.73449,3.0096,1.17965,0.03108,0.05882,0.03338,0.0104,2.53499,5.1973,1.66431,0.001604,0.001604,0.001604
10,309.898,1.82269,2.92803,1.17133,0.00176,0.52941,0.02414,0.00748,2.53513,4.67318,1.69094,0.0015545,0.0015545,0.0015545
11,339.058,2.15078,2.47439,1.40739,0.28933,0.17647,0.16221,0.08501,2.27196,4.66734,1.60115,0.001505,0.001505,0.001505
12,368.689,1.85253,2.25349,1.29379,0.48919,0.2264,0.1909,0.06695,2.33273,4.07523,1.49327,0.0014555,0.0014555,0.0014555
13,397.55,2.09159,2.2312,1.37243,0.44389,0.23529,0.23292,0.09395,2.51719,4.24085,1.43697,0.001406,0.001406,0.001406
14,426.334,1.86404,2.20845,1.34447,0.32354,0.23529,0.15104,0.03591,2.71406,4.68218,1.50713,0.0013565,0.0013565,0.0013565
15,455.075,1.89123,2.2246,1.28686,0.77419,0.29412,0.30216,0.07906,2.50806,3.88917,1.51698,0.001307,0.001307,0.001307
16,483.764,1.81637,2.05784,1.28349,0.49696,0.35294,0.35951,0.11268,2.38361,3.2592,1.52653,0.0012575,0.0012575,0.0012575
17,512.704,1.79489,1.82522,1.25701,0.72918,0.35294,0.44712,0.17077,2.25718,2.63167,1.62324,0.001208,0.001208,0.001208
18,542.429,1.65317,2.01266,1.13949,0.53992,0.52941,0.40965,0.16847,1.93229,4.17391,1.41433,0.0011585,0.0011585,0.0011585
19,570.768,1.87068,1.85823,1.20991,0.72132,0.60994,0.58506,0.19255,2.13756,2.23566,1.59291,0.001109,0.001109,0.001109
20,600.068,1.75019,1.70716,1.27067,0.78343,0.52941,0.55976,0.25585,2.02911,1.92183,1.53898,0.0010595,0.0010595,0.0010595
21,629.828,1.68284,1.57802,1.20403,0.66895,0.70588,0.63856,0.2467,2.02126,1.98848,1.63905,0.00101,0.00101,0.00101
22,663.81,1.58128,1.50707,1.17864,0.781,0.58824,0.59215,0.21527,2.08518,2.30506,1.58328,0.0009605,0.0009605,0.0009605
23,694.268,1.62201,1.64245,1.13813,0.71268,0.58824,0.56491,0.20307,2.11695,2.24009,1.51276,0.000911,0.000911,0.000911
24,724.978,1.56763,1.59834,1.15696,0.40254,0.58824,0.48282,0.20776,2.13396,2.22676,1.51031,0.0008615,0.0008615,0.0008615
25,754.858,1.5134,1.43549,1.10127,0.78653,0.52941,0.61778,0.20776,2.14742,1.93844,1.56736,0.000812,0.000812,0.000812
26,785.402,1.44971,1.48042,1.06135,0.61153,0.55655,0.61008,0.22704,2.09401,2.14486,1.54958,0.0007625,0.0007625,0.0007625
27,815.055,1.64608,1.44454,1.19239,0.79738,0.69509,0.69339,0.28756,2.07253,1.799,1.60548,0.000713,0.000713,0.000713
28,845.43,1.58805,1.31874,1.18049,0.78397,0.70588,0.73272,0.2996,2.02676,1.6796,1.66766,0.0006635,0.0006635,0.0006635
29,875.7,1.34566,1.16145,1.05755,0.68323,0.70588,0.70472,0.26949,1.98137,1.82077,1.62803,0.000614,0.000614,0.000614
30,906.499,1.4887,1.36509,1.14697,0.7032,0.70588,0.71311,0.26798,1.98829,1.68801,1.57373,0.0005645,0.0005645,0.0005645
31,936.527,1.39261,1.38043,1.11407,0.79757,0.70588,0.69864,0.25355,2.07705,1.71384,1.52699,0.000515,0.000515,0.000515
32,966.028,1.46914,1.32463,1.1562,0.80531,0.64706,0.6834,0.22801,2.19468,1.7526,1.55999,0.0004655,0.0004655,0.0004655
33,996.873,1.44301,1.21327,1.14692,0.74007,0.70588,0.68115,0.24721,2.07962,1.76762,1.48718,0.000416,0.000416,0.000416
34,1027.11,1.47843,1.25011,1.122,0.74669,0.69421,0.67262,0.2446,2.05438,1.83463,1.46656,0.0003665,0.0003665,0.0003665
35,1057.77,1.4433,1.16855,1.14669,0.74666,0.70588,0.67545,0.21487,2.17429,1.92489,1.57367,0.000317,0.000317,0.000317
36,1087.91,1.56167,1.32925,1.23012,0.79652,0.70588,0.68229,0.25073,2.0814,1.85361,1.45516,0.0002675,0.0002675,0.0002675
37,1117.82,1.43179,1.25811,1.1459,0.79097,0.6687,0.68962,0.26279,2.01521,1.84368,1.44171,0.000218,0.000218,0.000218
38,1147.96,1.46153,1.17994,1.18924,0.79595,0.6892,0.69548,0.25621,2.13379,1.82833,1.50165,0.0001685,0.0001685,0.0001685
39,1178.12,1.44941,1.14313,1.11537,0.80078,0.70955,0.70003,0.24051,2.25578,1.78639,1.61549,0.000119,0.000119,0.000119
40,1207.5,1.38726,1.23927,1.07023,0.8109,0.75716,0.69155,0.23337,2.25225,1.76482,1.61944,6.95e-05,6.95e-05,6.95e-05
